Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts
#0 Sarah Deng,26,21,2,0,0,1,0,2,0,0,1,0,1
#02 Mari Somvichian,27,18,1,1,0,5,0,0,1,0,1,1,0
#03 Danae Powell,16,11,4,0,0,0,0,0,0,0,3,1,1
#04 Allison Clarke,20,13,6,0,0,0,0,0,0,1,4,0,2
#06 Shawnee Nordstrom,14,11,0,0,0,1,0,1,1,0,0,0,0
#07 Ana Milanovic,17,9,3,0,0,1,1,1,0,0,2,1,1
#08 Shanayka Ismar,20,13,3,0,0,2,0,0,0,0,1,2,2
#11 Erica Finney,27,8,9,2,2,1,0,1,0,0,6,2,3
#13 Ivana Krajina,15,12,1,0,0,0,0,2,0,0,1,0,0
#22 Ali'a Matavao,4,2,1,0,0,1,0,0,0,0,1,0,0
#24 Kayla Jones,28,16,6,1,0,3,0,1,0,1,6,0,0
#55 Maya Hernandez,26,13,5,2,1,1,0,3,0,0,5,0,0
