Unnamed: 0,#0 Sarah Deng,#02 Mari Somvichian,#03 Danae Powell,#04 Allison Clarke,#06 Shawnee Nordstrom,#07 Ana Milanovic,#08 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#55 Maya Hernandez,Allow Middle,Allow OBoard,Allow Paint Touch,Allow Uncontested Three,Charge,Deflection,Foul,Leave Your Feet,Loose Ball Recovered,Missed Box Out,On-Ball Opp,Scared to Take a Charge,Successful Boxout
#0 Sarah Deng,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0
#02 Mari Somvichian,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
#03 Danae Powell,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0
#04 Allison Clarke,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,4.0
#06 Shawnee Nordstrom,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
#07 Ana Milanovic,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,1.0,2.0
#08 Shanayka Ismar,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0
#11 Erica Finney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,8.0,1.0,6.0
#13 Ivana Krajina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
#22 Ali'a Matavao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
#24 Kayla Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,6.0
#55 Maya Hernandez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,13.0,0.0,5.0
