,#0 Sarah Deng,#2 Mari Somvichian,#02 Mari Somvichian,#3 Danae Powell,#03 Danae Powell,#4 Allison Clarke,#04 Allison Clarke,#6 Shawnee Nordstrom,#06 Shawnee Nordstrom,#07 Ana Milanovic,#7 Ana Milanovic,#8 Shanayka Ismar,#08 Shanayka Ismar,#11 Erica Finney,#13 Ivana Krajina,#22 Ali'a Matavao,#24 Kayla Jones,#30 Janay Brantley,#55 Maya Hernandez,50-50 Ball,Allow Middle,Allow OBoard,Allow Paint Touch,Allow Uncontested Three,Charge,Def Reb,Deflection,Foul,Leave Your Feet,Missed Box Out,On-Ball Opp,Steal,Successful Boxout
#0 Sarah Deng,46,,,,,,,,,,,,,,,,,,,,5,,7,2,,,1,,,3,27,1,2
#2 Mari Somvichian,,36,,,,,,,,,,,,,,,,,,,4,1,3,,1,,1,,,4,20,,2
#02 Mari Somvichian,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
#3 Danae Powell,,,,20,,,,,,,,,,,,,,,,,,,,1,,,1,,,,14,,4
#03 Danae Powell,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
#4 Allison Clarke,,,,,,24,,,,,,,,,,,,,,,1,,6,,,,,,,,12,,5
#04 Allison Clarke,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,
#6 Shawnee Nordstrom,,,,,,,,60,,,,,,,,,,,,,2,3,5,2,1,,3,1,1,2,33,,7
#06 Shawnee Nordstrom,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,
#07 Ana Milanovic,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,
#7 Ana Milanovic,,,,,,,,,,,14,,,,,,,,,,,,1,2,,,1,,,2,5,,3
#8 Shanayka Ismar,,,,,,,,,,,,22,,,,,,,,,1,2,2,1,,,,,,3,11,,2
#08 Shanayka Ismar,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,
#11 Erica Finney,,,,,,,,,,,,,,42,,,,,,,4,2,3,1,,1,2,,,3,19,,8
#13 Ivana Krajina,,,,,,,,,,,,,,,27,,,,,,,,2,3,,1,1,1,,2,13,3,1
#22 Ali'a Matavao,,,,,,,,,,,,,,,,7,,,,,,,2,,,,,,,,4,,1
#24 Kayla Jones,,,,,,,,,,,,,,,,,41,,,1,,,7,1,1,,1,1,,2,16,1,10
#30 Janay Brantley,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,4,1,2
#55 Maya Hernandez,,,,,,,,,,,,,,,,,,,25,,,1,2,1,,,2,,,3,9,,7
