Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
SN-MH,True,30.3,11.64,18.66,47,73,120,15.227,43.145,91.489,54.795,36.695,52.824,3.96,5.282,-15.148,20.43,3,-39.185,48.387,64.516,-16.129,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN,True,29.128,12.607,16.522,51,66,117,20.879,41.179,92.157,60.606,31.551,44.09,9.613,5.95,-9.336,15.286,7,-31.566,55.882,68.421,-12.539,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-DP,True,29.108,11.952,17.157,43,69,112,-1.101,-1.806,79.07,62.319,16.751,1.34,-12.368,-7.137,-7.623,0.486,-9,-10.562,90.411,75.0,15.411,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-MH,True,27.057,11.585,15.472,44,60,104,3.875,18.288,79.545,66.667,12.879,14.164,-7.392,-6.661,-3.276,-3.386,-5,-25.68,67.568,68.852,-1.285,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-IK,True,22.163,9.322,12.842,33,50,83,13.072,39.94,72.727,46.0,26.727,38.655,1.805,-13.48,-23.942,10.463,1,-38.135,63.415,75.342,-11.928,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AC-KJ,True,21.238,8.477,12.762,30,50,80,-11.334,-26.05,70.0,66.0,4.0,-34.11,-22.601,-16.207,-3.942,-12.265,-12,3.45,78.788,40.678,38.11,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-KJ,True,19.532,9.438,10.093,37,45,82,-3.069,49.933,105.405,102.222,3.183,56.086,-14.336,19.199,32.28,-13.082,-7,-64.268,60.0,112.903,-52.903,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-KJ,True,19.53,7.788,11.742,27,45,72,13.315,-9.259,81.481,46.667,34.815,-9.397,2.048,-4.725,-23.276,18.55,1,11.307,90.244,46.032,44.212,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-IK,True,19.405,10.215,9.19,42,39,81,64.861,115.543,119.048,61.538,57.509,107.242,53.594,32.841,-8.404,41.244,26,-61.949,59.091,108.824,-49.733,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AC-IK,True,18.633,8.703,9.93,28,38,66,22.0,38.137,92.857,55.263,37.594,26.88,10.733,6.65,-14.679,21.329,5,-27.404,75.0,64.286,10.714,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-AC,True,18.275,7.565,10.71,25,41,66,0.323,-17.304,60.0,48.78,11.22,-24.114,-10.944,-26.207,-21.162,-5.045,-5,6.36,86.0,50.667,35.333,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-EF,True,17.443,4.68,12.763,18,42,60,-11.665,-25.446,72.222,54.762,17.46,-16.463,-22.931,-13.985,-15.18,1.196,-10,2.515,101.923,68.0,33.923,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-KJ,True,17.42,7.005,10.415,26,41,67,-18.584,-34.925,84.615,85.366,-0.75,-37.842,-29.851,-1.592,15.424,-17.015,-13,5.074,97.436,60.345,37.091,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-IK,True,17.125,8.243,8.882,34,34,68,50.975,78.744,105.882,55.882,50.0,59.014,39.708,19.675,-14.06,33.735,17,-39.036,73.913,82.927,-9.014,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-DP,True,16.753,8.088,8.665,32,36,68,35.143,48.723,106.25,66.667,39.583,53.195,23.876,20.043,-3.276,23.319,10,-24.847,79.412,93.023,-13.611,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
EF-MH,True,16.603,6.397,10.207,25,36,61,16.085,10.097,72.0,44.444,27.556,17.94,4.818,-14.207,-25.498,11.291,2,-5.278,84.615,75.0,9.615,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-KJ,True,16.372,6.59,9.782,25,40,65,16.153,-5.406,92.0,52.5,39.5,-4.019,4.886,5.793,-17.442,23.235,2,10.292,97.222,53.704,43.519,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-MH,True,15.933,5.4,10.533,21,38,59,-8.817,-13.004,85.714,68.421,17.293,-13.199,-20.084,-0.493,-1.521,1.029,-8,-7.08,94.286,63.793,30.493,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
IK-AM7,True,15.438,7.807,7.632,29,36,65,19.04,56.472,89.655,63.889,25.766,44.302,7.773,3.448,-6.053,9.502,3,-48.699,68.421,86.957,-18.535,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-AC,True,15.298,8.665,6.633,26,25,51,0.808,-33.602,73.077,92.0,-18.923,-58.027,-10.459,-13.13,22.058,-35.188,-4,23.144,96.0,56.897,39.103,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-EF,True,14.698,5.047,9.652,20,37,57,8.545,44.947,75.0,43.243,31.757,66.372,-2.721,-11.207,-26.699,15.492,-1,-47.669,50.0,84.615,-34.615,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
KJ-MH,True,14.69,6.478,8.212,25,37,62,-43.192,11.779,84.0,110.811,-26.811,6.523,-54.459,-2.207,40.869,-43.076,-20,-66.237,66.667,100.0,-33.333,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-EF,True,14.673,5.813,8.86,23,34,57,22.171,10.904,60.87,29.412,31.458,11.319,10.904,-25.337,-40.53,15.193,4,0.0,80.556,60.417,20.139,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
IK-MH,True,14.453,6.753,7.7,27,29,56,63.85,99.117,125.926,51.724,74.202,77.143,52.583,39.719,-18.218,57.937,19,-46.534,88.235,91.176,-2.941,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
IK-KJ,True,13.695,5.835,7.86,23,32,55,25.871,71.936,86.957,46.875,40.082,82.238,14.604,0.75,-23.067,23.817,5,-57.332,16.667,58.824,-42.157,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-AM7,True,13.658,5.583,8.075,23,33,56,14.195,22.723,78.261,51.515,26.746,14.119,2.929,-7.946,-18.427,10.481,1,-19.794,77.143,64.516,12.627,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-IK,True,13.002,4.44,8.562,17,36,53,5.114,44.103,82.353,44.444,37.908,46.242,-6.153,-3.854,-25.498,21.644,-2,-50.256,67.857,76.19,-8.333,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-KJ,True,12.395,6.095,6.3,24,29,53,-27.458,3.448,100.0,124.138,-24.138,-17.888,-38.725,13.793,54.196,-40.403,-12,-42.173,93.75,100.0,-6.25,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-AM7,True,12.263,6.48,5.783,23,28,51,-1.78,-0.352,104.348,100.0,4.348,-7.34,-13.047,18.141,30.058,-11.917,-4,-12.695,100.0,88.312,11.688,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
EF-KJ,True,12.228,5.132,7.097,18,26,44,-5.089,-20.819,66.667,65.385,1.282,-14.755,-16.355,-19.54,-4.558,-14.983,-5,4.463,90.323,74.286,16.037,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-AM7,True,12.215,5.2,7.015,22,32,54,50.563,74.208,118.182,43.75,74.432,77.86,39.296,31.975,-26.192,58.167,12,-34.912,68.0,71.429,-3.429,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-MH,True,12.052,4.783,7.268,20,30,50,24.543,21.509,105.0,56.667,48.333,24.929,13.276,18.793,-13.276,32.069,4,-8.233,100.0,76.596,23.404,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-EF,True,11.347,4.74,6.607,18,27,45,0.691,-10.576,66.667,55.556,11.111,-1.509,-10.576,-19.54,-14.387,-5.154,-3,0.0,96.226,83.607,12.62,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AC-EF,True,11.13,4.092,7.038,15,25,40,4.079,-22.266,86.667,60.0,26.667,-13.026,-7.188,0.46,-9.942,10.402,-2,15.078,107.692,68.0,39.692,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-SI,True,11.105,3.002,8.103,13,30,43,4.063,28.506,84.615,43.333,41.282,46.723,-7.204,-1.592,-26.609,25.017,-2,-35.71,47.059,52.5,-5.441,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-AC,True,11.068,4.363,6.705,17,28,45,-50.17,-22.691,105.882,125.0,-19.118,-43.403,-61.437,19.675,55.058,-35.382,-17,-38.745,110.0,85.714,24.286,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SI,True,10.553,5.09,5.463,17,21,38,-3.894,-26.59,70.588,76.19,-5.602,-35.425,-15.161,-15.619,6.248,-21.867,-4,11.429,98.077,68.254,29.823,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AC-AM7,True,10.352,5.783,4.568,17,20,37,-23.51,-20.893,76.471,110.0,-33.529,-48.529,-34.777,-9.736,40.058,-49.794,-9,-13.884,90.0,75.0,15.0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-DP,True,10.025,2.485,7.54,9,30,39,-28.633,-25.71,22.222,40.0,-17.778,-37.757,-39.9,-63.985,-29.942,-34.042,-10,-14.19,88.095,68.116,19.979,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-AC,True,9.9,4.648,5.252,13,20,33,3.186,-17.495,30.769,30.0,0.769,-34.088,-8.081,-55.438,-39.942,-15.495,-2,9.414,82.857,48.0,34.857,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AC-MH,True,9.848,4.788,5.06,17,20,37,-29.349,-14.469,111.765,145.0,-33.235,-45.884,-40.616,25.558,75.058,-49.5,-10,-26.147,109.524,96.875,12.649,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-DP,True,8.953,3.58,5.373,14,19,33,11.267,16.155,100.0,73.684,26.316,10.526,0.0,13.793,3.742,10.051,0,-16.155,100.0,84.211,15.789,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
EF-AM7,True,8.713,2.125,6.588,9,28,37,-16.277,-8.995,55.556,39.286,16.27,-0.117,-27.544,-30.651,-30.656,0.005,-6,-18.549,92.857,76.471,16.387,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
IK-EF,True,8.555,3.453,5.102,15,21,36,25.294,75.73,120.0,71.429,48.571,75.648,14.027,33.793,1.486,32.307,3,-61.703,96.0,123.077,-27.077,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SI,True,8.285,2.0,6.285,8,23,31,-27.357,-31.098,50.0,52.174,-2.174,-43.761,-38.624,-36.207,-17.768,-18.439,-8,-7.526,90.476,48.889,41.587,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-AC,True,7.983,3.498,4.485,14,20,34,-28.817,77.153,114.286,120.0,-5.714,73.831,-40.084,28.079,50.058,-21.979,-8,-117.237,25.0,104.545,-79.545,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AM7-MH,True,7.807,3.188,4.618,12,18,30,42.01,49.277,75.0,16.667,58.333,46.333,30.743,-11.207,-53.276,42.069,6,-18.534,72.0,60.0,12.0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-SI,True,7.67,4.008,3.662,12,16,28,-35.669,-46.936,66.667,106.25,-39.583,-58.102,-46.936,-19.54,36.308,-55.848,-9,0.0,100.0,81.481,18.519,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-AM7,True,7.222,3.962,3.26,12,16,28,-5.35,2.093,50.0,56.25,-6.25,-9.643,-16.617,-36.207,-13.692,-22.515,-3,-18.71,83.721,80.328,3.393,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-IK,True,6.54,4.452,2.088,13,9,22,-0.966,44.599,84.615,144.444,-59.829,-28.028,-12.232,-1.592,74.502,-76.094,-2,-56.832,73.913,105.714,-31.801,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-AM7,True,5.997,3.927,2.07,10,10,20,-8.744,-18.464,50.0,80.0,-30.0,-51.732,-20.011,-36.207,10.058,-46.265,-3,-1.547,90.698,68.966,21.732,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SD,True,5.573,2.683,2.89,10,12,22,-17.441,-8.425,100.0,116.667,-16.667,-25.238,-28.708,13.793,46.724,-32.931,-4,-20.283,100.0,91.429,8.571,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
AM7-KJ,True,5.365,3.142,2.223,12,11,23,56.001,37.481,125.0,81.818,43.182,1.872,44.734,38.793,11.876,26.917,6,7.253,104.167,62.857,41.31,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SN,True,3.647,2.042,1.605,7,8,15,88.049,130.687,200.0,87.5,112.5,150.219,76.782,113.793,17.558,96.235,7,-53.905,83.333,121.053,-37.719,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-EF,True,3.01,0.34,2.67,2,11,13,-148.202,-132.944,0.0,109.091,-109.091,-97.9,-159.468,-86.207,39.149,-125.356,-12,-26.524,105.882,117.073,-11.191,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-MH,True,2.59,1.94,0.65,6,3,9,-50.509,-31.263,33.333,200.0,-166.667,-138.69,-61.776,-52.874,130.058,-182.931,-4,-30.513,76.19,104.167,-27.976,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
