Player,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
Ivana Krajina,64.788,32.448,32.34,120,130,250,18.305,37.447,97.5,90.0,7.5,29.751,0.0,4.675,-10.0,14.675,0,-37.447,87.379,109.63,-22.251,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Kayla Jones,58.583,27.747,30.837,102,125,227,8.063,14.993,101.961,95.2,6.761,25.923,-10.242,9.136,-4.8,13.936,-15,-25.235,85.124,104.286,-19.162,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Shawnee Nordstrom,68.122,33.275,34.847,125,142,267,11.846,25.611,98.4,94.366,4.034,24.824,-6.459,5.575,-5.634,11.209,-11,-32.07,85.714,106.504,-20.79,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Danae Powell,53.952,25.007,28.945,95,117,212,3.477,6.053,97.895,96.581,1.314,14.954,-14.828,5.07,-3.419,8.488,-20,-20.882,89.062,102.703,-13.64,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Sarah Deng,60.452,29.348,31.103,112,125,237,6.394,12.225,95.536,100.0,-4.464,5.446,-11.91,2.711,0.0,2.711,-18,-24.136,90.09,100.0,-9.91,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Erica Finney,51.168,23.053,28.115,87,109,196,-2.802,-4.699,87.356,94.495,-7.139,0.384,-21.107,-5.469,-5.505,0.036,-27,-16.408,96.324,103.846,-7.523,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Mari Somvichian,52.86,25.138,27.722,93,113,206,-2.127,-3.648,94.624,101.77,-7.146,-0.001,-20.431,1.799,1.77,0.029,-27,-16.783,91.538,98.684,-7.146,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Maya Hernandez,52.222,23.6,28.622,92,114,206,-5.44,-9.253,88.043,98.246,-10.202,-5.061,-23.745,-4.782,-1.754,-3.027,-31,-14.492,96.183,101.325,-5.141,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Allison Clarke,62.627,30.773,31.853,107,125,232,-4.05,-8.006,92.523,107.2,-14.677,-14.209,-22.355,-0.302,7.2,-7.502,-35,-14.349,93.103,93.571,-0.468,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Ana Milanovic,42.777,22.44,20.337,79,88,167,-6.943,-10.48,78.481,101.136,-22.655,-23.915,-25.247,-14.344,1.136,-15.48,-27,-14.768,100.694,99.435,1.259,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Shanayka Ismar,53.437,26.312,27.125,86,104,190,-10.889,-18.826,82.558,105.769,-23.211,-26.208,-29.193,-10.267,5.769,-16.036,-39,-10.367,99.27,96.273,2.997,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
Ali'a Matavao,11.0,4.252,6.748,18,25,43,-65.332,-71.541,94.444,160.0,-65.556,-64.488,-83.636,1.619,60.0,-58.381,-23,-12.096,92.683,93.75,-1.067,126.743,-58,223,265,488,92.825,100.0,-7.175,-18.305
