Player,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
Shawnee Nordstrom,41.272,17.633,23.638,71,97,168,21.928,49.119,102.817,63.918,38.899,56.531,10.661,16.61,-6.025,22.635,11,-38.458,60.0,77.632,-17.632,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Ivana Krajina,37.192,17.245,19.947,65,81,146,30.626,61.111,98.462,56.79,41.671,52.605,19.359,12.255,-13.152,25.407,18,-41.752,70.588,81.522,-10.934,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Maya Hernandez,38.063,15.738,22.325,61,87,148,7.063,14.431,90.164,67.816,22.348,12.623,-4.204,3.957,-2.126,6.083,-4,-18.634,81.818,72.093,9.725,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Ana Milanovic,24.875,11.738,13.137,42,59,101,8.051,12.082,85.714,64.407,21.308,7.628,-3.216,-0.493,-5.535,5.043,-2,-15.298,86.486,72.807,13.679,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Sarah Deng,37.068,15.638,21.43,62,85,147,5.871,11.677,88.71,70.588,18.121,4.106,-5.395,2.503,0.646,1.857,-5,-17.073,83.333,69.318,14.015,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Erica Finney,30.36,10.52,19.84,41,74,115,-4.543,-7.665,73.171,56.757,16.414,2.879,-15.81,-13.036,-13.185,0.149,-12,-8.146,93.333,79.798,13.535,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Danae Powell,29.108,11.952,17.157,43,69,112,-1.101,-1.806,79.07,62.319,16.751,1.34,-12.368,-7.137,-7.623,0.486,-9,-10.562,90.411,75.0,15.411,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Mari Somvichian,27.283,11.428,15.855,40,65,105,-6.326,-9.978,77.5,66.154,11.346,-7.221,-17.593,-8.707,-3.788,-4.919,-12,-7.616,90.789,72.222,18.567,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Kayla Jones,38.5,16.61,21.89,62,90,152,-5.357,-11.076,87.097,77.778,9.319,-14.42,-16.623,0.89,7.836,-6.946,-16,-5.547,85.185,61.446,23.739,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Allison Clarke,34.102,15.322,18.78,51,74,125,-11.019,-20.309,80.392,81.081,-0.689,-29.842,-22.286,-5.815,11.139,-16.954,-19,-1.978,90.769,61.616,29.153,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Shanayka Ismar,29.827,12.107,17.72,41,66,107,-16.896,-28.163,73.171,77.273,-4.102,-32.015,-28.163,-13.036,7.331,-20.367,-21,0.0,93.333,65.421,27.913,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
Ali'a Matavao,3.395,0.703,2.692,2,10,12,-189.028,-198.046,0.0,170.0,-170.0,-193.916,-200.295,-86.207,100.058,-186.265,-17,-2.248,87.719,63.804,23.916,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267

