Lineup,Minutes,Off Min,Def Min,Total Possessions,Off Poss,Def Poss,PM_p40,Net_RTG,Off PPP,Def PPP,ORTG,DRTG,Plus_Minus,rel_PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,O_eFG%,O_TOV%,O_ORB%,O_FTR,D_eFG%,D_TOV%,D_ORB%,D_FTR,Stop Rate,Score Rate,Stops,Scores,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FGA,FGM,2FGA Allowed,2FGM Allowed,3PA Allowed,3PM Allowed,FTA Allowed,FTM Allowed,TOV Forced,O-Boards Allowed,FGA Allowed,FGM Allowed,Points For,Points Against,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-SI-AC-EF-KJ,6.468,2.822,3.647,23,10,13,18.552,39.231,0.7,0.308,70.0,30.769,3,29.819,-16.207,-39.173,22.966,0.286,0.2,0.1,0.429,0.2,0.308,0.154,0.0,0.846,0.3,11,3,6,2,1,0,3,3,2,1,7,2,7,2,3,0,0,0,4,2,10,2,7,4,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-DP-AC-IK-KJ,6.13,1.423,4.707,22,5,17,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-DP-IK-MH,5.352,2.122,3.23,18,8,10,14.949,37.5,0.875,0.5,87.5,50.0,2,26.215,1.293,-19.942,21.235,0.5,0.375,0.125,0.0,0.667,0.6,0.0,0.667,0.7,0.375,7,3,3,2,3,1,0,0,3,1,6,3,3,2,0,0,2,1,6,0,3,2,7,5,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-SI-EF-MH,4.307,0.85,3.457,15,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-DP-SI-KJ-MH,3.647,1.908,1.738,17,8,9,21.938,33.333,1.0,0.667,100.0,66.667,2,33.205,13.793,-3.276,17.069,0.429,0.5,0.375,0.0,0.429,0.444,0.222,0.0,0.667,0.375,6,3,3,1,4,2,0,0,4,3,7,3,6,3,1,0,0,0,4,2,7,3,8,6,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-EF-KJ-MH,2.705,2.048,0.657,11,7,4,14.787,-28.571,0.714,1.0,71.429,100.0,1,26.054,-14.778,30.058,-44.836,0.222,0.143,0.429,0.0,1.0,0.5,0.0,2.0,0.5,0.286,2,2,5,1,4,1,0,0,1,3,9,2,0,0,1,1,2,1,2,0,1,1,5,4,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-AC-KJ-MH,2.643,0.62,2.023,12,3,9,-166.456,-77.778,0.667,1.444,66.667,144.444,-11,-155.19,-19.54,74.502,-94.042,0.5,0.667,0.333,0.0,0.833,0.222,0.0,0.167,0.444,0.333,4,1,2,1,0,0,0,0,2,1,2,1,4,3,2,2,1,1,2,0,6,5,2,13,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-AC-IK-EF-MH,2.32,1.008,1.312,8,4,4,17.241,25.0,1.5,1.25,150.0,125.0,1,28.508,63.793,55.058,8.735,0.75,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.75,2,3,3,3,1,0,0,0,0,0,4,3,1,1,1,1,0,0,2,0,2,2,6,5,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-EF-AM7-MH,2.26,0.468,1.792,9,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-AC-IK-AM7,2.092,1.067,1.025,10,5,5,19.124,20.0,1.0,0.8,100.0,80.0,1,30.39,13.793,10.058,3.735,0.5,0.2,0.0,0.0,1.0,0.6,0.0,0.0,0.6,0.4,3,2,3,1,1,1,0,0,1,0,4,2,2,2,0,0,0,0,3,0,2,2,5,4,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SI-AC-KJ-MH,2.028,1.15,0.878,8,4,4,-78.882,-100.0,1.0,2.0,100.0,200.0,-4,-67.616,13.793,130.058,-116.265,0.667,0.25,0.0,0.0,1.0,0.25,0.0,0.333,0.25,0.5,1,2,3,2,0,0,0,0,1,0,3,2,2,2,1,1,1,1,1,0,3,3,4,8,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
