PossessionID,Notes,Side,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,P9,Offense,SD-SN-DP-IK-MH,False,0:15.5,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
2,P9,Defense,SD-SN-DP-IK-MH,True,0:21.7,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,P9,Offense,MS-SI-AC-EF-KJ,True,0:13.8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
4,P9,Offense,MS-SI-AC-EF-KJ,False,0:08.3,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
5,P9,Defense,MS-SI-AC-EF-KJ,False,0:07.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
6,P9,Offense,SD-SN-IK-AM7-MH,False,0:21.4,0,0,0,0,2,2,0,0,1,2,False,False,False,False,False,False
7,P9,Offense,SD-SN-IK-AM7-MH,False,0:09.9,0,0,0,0,1,1,0,0,0,1,False,False,False,False,False,False
8,P9,Defense,SD-SN-IK-AM7-MH,False,0:14.6,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
9,P9,Offense,MS-SI-AC-A'M-KJ,False,0:26.5,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
10,P9,Defense,MS-SI-AC-A'M-KJ,False,0:15.3,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
11,P9,Defense,SN-DP-IK-AM7-MH,False,0:07.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
12,P9,Offense,SN-DP-IK-AM7-MH,False,0:09.0,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
13,P9,Defense,SN-DP-IK-AM7-MH,False,0:05.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
14,P9,Offense,SN-DP-IK-AM7-MH,False,0:06.5,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
15,P9,Offense,MS-SI-AC-EF-KJ,False,0:07.1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
16,P9,Offense,SD-SN-DP-IK-MH,False,0:14.4,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
17,P9,Offense,MS-AC-A'M-EF-KJ,False,0:15.7,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
18,P9,Defense,MS-AC-A'M-EF-KJ,False,0:10.1,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
19,P9,Offense,SD-SN-DP-IK-AM7,False,0:26.1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
20,P9,Defense,SD-SN-DP-IK-AM7,False,0:06.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
21,P9,Offense,SD-SN-DP-IK-AM7,False,0:06.4,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
22,P9,Offense,MS-SI-AC-EF-KJ,False,0:28.3,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
23,P9,Defense,MS-SI-AC-EF-KJ,False,0:08.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
24,P9,Defense,SD-SN-DP-IK-MH,False,0:20.8,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
25,P9,Defense,MS-AC-EF-AM7-KJ,False,0:10.7,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
26,P9,Defense,SD-DP-IK-AM7-MH,False,0:16.2,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False
27,P9,Defense,MS-SI-A'M-EF-KJ,False,0:22.5,2,1,0,0,0,0,0,1,0,2,True,False,True,False,True,False
28,P9,Defense,SD-SN-IK-AM7-MH,True,0:12.6,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
29,P9,Defense,SD-SN-IK-AM7-MH,True,0:20.6,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
30,P9,Defense,SI-AC-A'M-EF-KJ,False,0:16.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
31,P9,Defense,SD-SN-DP-IK-MH,False,0:20.4,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
32,P9,Defense,MS-SI-AC-EF-KJ,False,0:14.2,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
33,P9,Defense,MS-SI-AC-EF-KJ,False,0:41.6,1,0,2,0,0,0,0,2,0,0,True,True,True,True,True,False
34,P9,Defense,SN-DP-IK-AM7-MH,False,0:12.1,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
35,P9,Defense,SN-DP-IK-AM7-MH,False,0:23.5,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
36,P9,Defense,SN-DP-SI-KJ-MH,False,0:18.1,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
37,P9,Offense,SN-DP-SI-KJ-MH,False,0:16.2,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
38,P9,Offense,SN-DP-SI-KJ-MH,False,0:33.3,2,0,1,0,0,0,1,3,0,0,False,False,False,False,False,False
39,P9,Defense,SN-DP-SI-KJ-MH,False,0:07.0,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
40,P9,Offense,SN-DP-SI-KJ-MH,True,0:21.5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
41,P9,Defense,SD-AC-IK-EF-AM7,False,0:20.4,0,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False
42,P9,Offense,SD-AC-IK-EF-AM7,True,0:15.6,2,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False
43,P9,Defense,SD-AC-IK-EF-AM7,True,0:15.9,0,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
44,P9,Defense,SD-AC-IK-EF-AM7,False,0:25.2,0,0,1,0,0,0,0,1,1,0,True,False,True,False,True,False
45,P9,Defense,SD-AC-IK-EF-AM7,False,0:12.3,0,0,0,0,1,1,0,0,0,1,True,False,False,False,False,False
46,P9,Offense,SD-AC-IK-EF-AM7,True,0:09.6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
