#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,@,P9,,Offense,,,0:15.5,N/A,N/A,0:56.29,1:11.83,Live,,,,,"#03 Danae Powell, #0 Sarah Deng, #55 Maya Hernandez, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court",,,
2,),P9,,"Defense, Whistle",,,0:21.7,N/A,N/A,1:06.63,1:28.29,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #03 Danae Powell, #0 Sarah Deng",,,
3,),P9,,"Offense, Whistle",,,0:13.8,N/A,N/A,1:34.12,1:47.96,Live,,,,,"#11 Erica Finney, #04 Allison Clarke, #02 Mari Somvichian, #08 Shanayka Ismar, #24 Kayla Jones, Half-court",,,
4,9,P9,,Offense,,,0:08.3,N/A,N/A,1:53.37,2:01.69,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #02 Mari Somvichian, #24 Kayla Jones, #04 Allison Clarke, Half-court",,,
5,9,P9,,Defense,,,0:07.0,N/A,N/A,2:01.48,2:08.50,Live,,,,,"#04 Allison Clarke, #02 Mari Somvichian, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones",,,
6,0-1-1,P9,,Offense,,,0:21.4,N/A,N/A,2:10.78,2:32.19,Live,,,,,"#07 Ana Milanovic, #13 Ivana Krajina, #06 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, Half-court",,,
7,1,P9,,Offense,,,0:09.9,N/A,N/A,2:43.99,2:53.92,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #07 Ana Milanovic, #0 Sarah Deng",,,
8,@,P9,,Defense,,,0:14.6,N/A,N/A,2:50.47,3:05.06,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #55 Maya Hernandez, #07 Ana Milanovic, #06 Shawnee Nordstrom",,,
9,#,P9,,Offense,,,0:26.5,N/A,N/A,3:09.68,3:36.22,Live,,,,,"#24 Kayla Jones, #04 Allison Clarke, #08 Shanayka Ismar, #22 Ali'a Matavao, #02 Mari Somvichian, Half-court",,,
10,2,P9,,"Defense, Allow Paint Touch",,,0:15.3,N/A,N/A,3:31.06,3:46.40,Live,,,,,"#08 Shanayka Ismar, #22 Ali'a Matavao, #24 Kayla Jones, #02 Mari Somvichian, #04 Allison Clarke",,,
